unigram,count
you,25
of,18
to,16
i,13
a,12
and,12
for,12
the,11
he,10
is,10
it,10
my,10
that,10
in,9
be,8
mr,8
them,8
as,7
but,7
his,7
not,7
are,6
dear,6
must,6
no,6
so,6
has,5
how,5
me,5
will,5
bennet,4
bingley,4
by,4
do,4
girls,4
go,4
have,4
know,4
see,4
she,4
they,4
beauty,3
can,3
him,3
lizzy,3
may,3
much,3
one,3
or,3
replied,3
single,3
such,3
than,3
visit,3
what,3
with,3
your,3
all,2
am,2
assure,2
better,2
comes,2
daughters,2
design,2
five,2
fortune,2
four,2
good,2
had,2
half,2
handsome,2
her,2
here,2
indeed,2
large,2
like,2
long,2
man,2
marrying,2
more,2
mrs,2
nerves,2
on,2
over,2
own,2
send,2
sure,2
take,2
taken,2
thing,2
think,2
thinking,2
very,2
want,2
was,2
when,2
wife,2
woman,2
_can_,1
_have_,1
_her_,1
_may_,1
_us_,1
_you_,1
about,1
abuse,1
account,1
affect,1
agreed,1
always,1
an,1
answer,1
any,1
anything,1
been,1
before,1
best,1
bit,1
came,1
cases,1
certainly,1
chaise,1
children,1
chooses,1
compassion,1
consent,1
consider,1
cried,1
dare,1
delight,1
delighted,1
desire,1
determined,1
down,1
end,1
engage,1
england,1
enough,1
establishment,1
extraordinary,1
fall,1
few,1
fine,1
flatter,1
from,1
general,1
give,1
giving,1
glad,1
grown,1
hearing,1
hearty,1
high,1
house,1
humoured,1
if,1
ignorant,1
immediately,1
impatiently,1
impossible,1
into,1
invitation,1
jane,1
just,1
lady,1
likely,1
lines,1
little,1
love,1
lucas,1
lydia,1
made,1
married,1
merely,1
michaelmas,1
mistake,1
monday,1
morris,1
name,1
neighbourhood,1
netherfield,1
newcomers,1
next,1
none,1
nonsense,1
nor,1
north,1
now,1
objection,1
occasion,1
often,1
oh,1
only,1
other,1
others,1
ought,1
our,1
party,1
perhaps,1
place,1
poor,1
possession,1
preference,1
pretend,1
quickness,1
recommend,1
respect,1
returned,1
say,1
says,1
scrupulous,1
servants,1
settling,1
share,1
silly,1
sir,1
sisters,1
some,1
something,1
soon,1
still,1
surely,1
talk,1
tell,1
themselves,1
therefore,1
this,1
though,1
thousand,1
throw,1
tiresome,1
told,1
up,1
vexing,1
way,1
week,1
which,1
whichever,1
who,1
why,1
william,1
word,1
would,1
year,1
young,1
